language,rank,headword,english_definition,english_translation,lemma,frequency,frequency_unit,pos,pronunciation,romanization,source,source_id,source_quality,milestone,word_unit,source_rank,annotation_source,translation_lemma,translation_method,translation_quality,translation_source,definition_lemma,definition_method,definition_source
es,3938,bibliotecas,plural of biblioteca,plural of biblioteca,,2,count,,,,https://www.lllf.uam.es/ESP/Corlec.html,corlec_nonbroadcast_conversation,measured_spoken,5000,word_form,,,biblioteca,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Spanish/,biblioteca,source_dictionary_gloss,https://kaikki.org/dictionary/Spanish/
es,3939,bici,clipping of bicicleta: bike,clipping of bicicleta: bike,,2,count,,,,https://www.lllf.uam.es/ESP/Corlec.html,corlec_nonbroadcast_conversation,measured_spoken,5000,word_form,,,bici,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Spanish/,bici,source_dictionary_gloss,https://kaikki.org/dictionary/Spanish/
es,3940,bingo,bingo (game),bingo (game),,2,count,,,,https://www.lllf.uam.es/ESP/Corlec.html,corlec_nonbroadcast_conversation,measured_spoken,5000,word_form,,,bingo,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Spanish/,bingo,source_dictionary_gloss,https://kaikki.org/dictionary/Spanish/
es,3941,bisagras,plural of bisagra,plural of bisagra,,2,count,,,,https://www.lllf.uam.es/ESP/Corlec.html,corlec_nonbroadcast_conversation,measured_spoken,5000,word_form,,,bisagra,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Spanish/,bisagra,source_dictionary_gloss,https://kaikki.org/dictionary/Spanish/
es,3942,biscuit,,,,2,count,,,,https://www.lllf.uam.es/ESP/Corlec.html,corlec_nonbroadcast_conversation,measured_spoken,5000,word_form,,,,,,,,,
es,3943,bobadas,plural of bobada,plural of bobada,,2,count,,,,https://www.lllf.uam.es/ESP/Corlec.html,corlec_nonbroadcast_conversation,measured_spoken,5000,word_form,,,bobada,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Spanish/,bobada,source_dictionary_gloss,https://kaikki.org/dictionary/Spanish/
es,3944,bobas,feminine plural of bobo; plural of boba,feminine plural of bobo; plural of boba,,2,count,,,,https://www.lllf.uam.es/ESP/Corlec.html,corlec_nonbroadcast_conversation,measured_spoken,5000,word_form,,,bobo,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Spanish/,bobo,source_dictionary_gloss,https://kaikki.org/dictionary/Spanish/
es,3945,bobos,masculine plural of bobo; plural of bobo,masculine plural of bobo; plural of bobo,,2,count,,,,https://www.lllf.uam.es/ESP/Corlec.html,corlec_nonbroadcast_conversation,measured_spoken,5000,word_form,,,bobo,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Spanish/,bobo,source_dictionary_gloss,https://kaikki.org/dictionary/Spanish/
es,3946,body,alternative spelling of bodi,alternative spelling of bodi,,2,count,,,,https://www.lllf.uam.es/ESP/Corlec.html,corlec_nonbroadcast_conversation,measured_spoken,5000,word_form,,,body,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Spanish/,body,source_dictionary_gloss,https://kaikki.org/dictionary/Spanish/
es,3947,bofetón,"slap, swat","slap, swat",,2,count,,,,https://www.lllf.uam.es/ESP/Corlec.html,corlec_nonbroadcast_conversation,measured_spoken,5000,word_form,,,bofetón,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Spanish/,bofetón,source_dictionary_gloss,https://kaikki.org/dictionary/Spanish/
es,3948,bollos,plural of bollo,plural of bollo,,2,count,,,,https://www.lllf.uam.es/ESP/Corlec.html,corlec_nonbroadcast_conversation,measured_spoken,5000,word_form,,,bollo,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Spanish/,bollo,source_dictionary_gloss,https://kaikki.org/dictionary/Spanish/
es,3949,bolsa,"bag; coin purse; purse, handbag; stock exchange","bag; coin purse; purse, handbag; stock exchange",,2,count,,,,https://www.lllf.uam.es/ESP/Corlec.html,corlec_nonbroadcast_conversation,measured_spoken,5000,word_form,,,bolsa,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Spanish/,bolsa,source_dictionary_gloss,https://kaikki.org/dictionary/Spanish/
es,3950,bolsos,plural of bolso,plural of bolso,,2,count,,,,https://www.lllf.uam.es/ESP/Corlec.html,corlec_nonbroadcast_conversation,measured_spoken,5000,word_form,,,bolso,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Spanish/,bolso,source_dictionary_gloss,https://kaikki.org/dictionary/Spanish/
es,3951,bombos,masculine plural of bombo; plural of bombo,masculine plural of bombo; plural of bombo,,2,count,,,,https://www.lllf.uam.es/ESP/Corlec.html,corlec_nonbroadcast_conversation,measured_spoken,5000,word_form,,,bombo,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Spanish/,bombo,source_dictionary_gloss,https://kaikki.org/dictionary/Spanish/
es,3952,bordado,past participle of bordar; perfectly; embroidered; embroidery,past participle of bordar; perfectly; embroidered; embroidery,,2,count,,,,https://www.lllf.uam.es/ESP/Corlec.html,corlec_nonbroadcast_conversation,measured_spoken,5000,word_form,,,bordado,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Spanish/,bordado,source_dictionary_gloss,https://kaikki.org/dictionary/Spanish/
