language,rank,headword,english_definition,english_translation,lemma,frequency,frequency_unit,pos,pronunciation,romanization,source,source_id,source_quality,milestone,word_unit,source_rank,annotation_source,translation_lemma,translation_method,translation_quality,translation_source,definition_lemma,definition_method,definition_source
yue,4077,翼,(noun) 1. flank; (verb); to conceal; 2. to cover; wing; area surrounding the bullseye of a target,(noun) 1. flank; (verb); to conceal; 2. to cover; wing; area surrounding the bullseye of a target,,1,count,n,,jik6,https://github.com/fcbond/hkcancor,hkcancor_spontaneous_conversation,measured_spoken,5000,segmented_word,,https://github.com/fcbond/hkcancor,翼,cc_canto_headword,dictionary_gloss,https://cc-canto.org/,翼,source_dictionary_gloss,https://cc-canto.org/
yue,4078,老兄,elder brother (often used self-referentially); (form of address between male friends) old chap; buddy,elder brother (often used self-referentially); (form of address between male friends) old chap; buddy,,1,count,n,,lou5hing1,https://github.com/fcbond/hkcancor,hkcancor_spontaneous_conversation,measured_spoken,5000,segmented_word,,https://github.com/fcbond/hkcancor,老兄,cc_cedict_shared_written_form_proxy,shared_written_form_proxy,https://www.mdbg.net/chinese/dictionary?page=cc-cedict,老兄,source_dictionary_gloss,https://www.mdbg.net/chinese/dictionary?page=cc-cedict
yue,4079,老友,old friend; sb who passed the county level imperial exam (in Ming dynasty),old friend; sb who passed the county level imperial exam (in Ming dynasty),,1,count,n,,lou5jau5,https://github.com/fcbond/hkcancor,hkcancor_spontaneous_conversation,measured_spoken,5000,segmented_word,,https://github.com/fcbond/hkcancor,老友,cc_cedict_shared_written_form_proxy,shared_written_form_proxy,https://www.mdbg.net/chinese/dictionary?page=cc-cedict,老友,source_dictionary_gloss,https://www.mdbg.net/chinese/dictionary?page=cc-cedict
yue,4080,老吹,to bullshit; to talk nonsense [colloquial],to bullshit; to talk nonsense [colloquial],,1,count,v,,lou5ceoi1,https://github.com/fcbond/hkcancor,hkcancor_spontaneous_conversation,measured_spoken,5000,segmented_word,,https://github.com/fcbond/hkcancor,老吹,cc_canto_headword,dictionary_gloss,https://cc-canto.org/,老吹,source_dictionary_gloss,https://cc-canto.org/
yue,4081,老套,hackneyed; well-worn (phrase etc); same old story; stereotypical fashion,hackneyed; well-worn (phrase etc); same old story; stereotypical fashion,,1,count,a,,lou5tou2,https://github.com/fcbond/hkcancor,hkcancor_spontaneous_conversation,measured_spoken,5000,segmented_word,,https://github.com/fcbond/hkcancor,老套,cc_cedict_shared_written_form_proxy,shared_written_form_proxy,https://www.mdbg.net/chinese/dictionary?page=cc-cedict,老套,source_dictionary_gloss,https://www.mdbg.net/chinese/dictionary?page=cc-cedict
yue,4082,老老嫩嫩,,,,1,count,z,,lou5lou5nyun6nyun6,https://github.com/fcbond/hkcancor,hkcancor_spontaneous_conversation,measured_spoken,5000,segmented_word,,https://github.com/fcbond/hkcancor,,,,,,,
yue,4083,老老實實,be honest,be honest,,1,count,z,,lou5lou5sat6sat6,https://github.com/fcbond/hkcancor,hkcancor_spontaneous_conversation,measured_spoken,5000,segmented_word,,https://github.com/fcbond/hkcancor,老老實實,cc_canto_headword,dictionary_gloss,https://cc-canto.org/,老老實實,source_dictionary_gloss,https://cc-canto.org/
yue,4084,老鼠拉龜,don't know where to start; don't know how to handle [colloquial],don't know where to start; don't know how to handle [colloquial],,1,count,l,,lou5syu2laai1gwai1,https://github.com/fcbond/hkcancor,hkcancor_spontaneous_conversation,measured_spoken,5000,segmented_word,,https://github.com/fcbond/hkcancor,老鼠拉龜,cc_canto_headword,dictionary_gloss,https://cc-canto.org/,老鼠拉龜,source_dictionary_gloss,https://cc-canto.org/
yue,4085,考驗,to test; to put to the test; trial; ordeal,to test; to put to the test; trial; ordeal,,1,count,vn,,haau2jim6,https://github.com/fcbond/hkcancor,hkcancor_spontaneous_conversation,measured_spoken,5000,segmented_word,,https://github.com/fcbond/hkcancor,考验,cc_cedict_shared_written_form_proxy,shared_written_form_proxy,https://www.mdbg.net/chinese/dictionary?page=cc-cedict,考验,source_dictionary_gloss,https://www.mdbg.net/chinese/dictionary?page=cc-cedict
yue,4086,者,(after a verb or adjective) one who (is); (after a noun) person involved in; -er; -ist,(after a verb or adjective) one who (is); (after a noun) person involved in; -er; -ist,,1,count,n,,ze2,https://github.com/fcbond/hkcancor,hkcancor_spontaneous_conversation,measured_spoken,5000,segmented_word,,https://github.com/fcbond/hkcancor,者,cc_canto_headword,dictionary_gloss,https://cc-canto.org/,者,source_dictionary_gloss,https://cc-canto.org/
